,ID,"Уставный капитал, млн RUB","Налоги, млн RUB","Страховые взносы в ПФР, млн RUB","Страховые взносы в ФОМС, млн RUB","Страховые взносы в ФСС, млн RUB","Основные средства , млн RUB","Чистые активы, млн RUB","Запасы, млн RUB","Выручка, млн RUB","Чистая прибыль (убыток), млн RUB","Оплата труда, млн RUB","Оплата труда, прогноз"
154,1-KRMR,6770.55,334.0,110.0,31.0,3.0,1089.0,28244,92835.0,54732,10213.0,681,-613
155,1-UI2L,510.2,334.0,110.0,31.0,3.0,1169.0,3009,766.0,16363,438.0,2050,1652
156,1-DRY21S,248.69,334.0,110.0,31.0,3.0,9137.0,4286,6383.0,83368,2426.0,3147,5959
157,1-ICFV,0.1,334.0,110.0,31.0,3.0,14215.0,14968,3448.0,23502,3230.0,2134,2906
158,1-R4I7O,1.0,133.0,96.0,24.0,0.0,704.0,458,85.0,1983,599.0,598,264
159,1-DVA3XK,0.02,485.0,123.0,29.0,8.0,11.0,197,116.0,2649,334.0,753,497
160,1-1O66WXO,0.75,193.0,57.0,18.0,1.0,13.0,153,109.0,833,72.0,434,291
161,1-2EJRV,0.01,334.0,110.0,31.0,3.0,209.0,688,1104.0,10577,146.0,894,1132
162,1-O5GZ4W,775.0,194.0,139.0,36.0,1.0,208.0,604,86.0,1704,-87.0,655,477
163,1-1L3U2DW,852.53,334.0,110.0,31.0,3.0,2388.0,3329,2758.0,23680,1248.0,724,1888
164,1-20AUSU,0.02,270.0,188.0,45.0,6.0,2215.0,1513,63.0,8899,374.0,789,1210
165,1-OH3BF,9.33,274.0,92.0,23.0,3.0,321.0,2394,637.0,1478,311.0,538,493
166,1-AX2POW,2.21,679.0,219.0,55.0,1.0,2742.0,4782,87.0,5377,1574.0,1414,1132
167,1-NSGUHK2,400.0,685.0,153.0,39.0,6.0,129.0,746,1189.0,4570,500.0,862,697
168,1-4L509,2245.71,334.0,110.0,31.0,3.0,2894.0,5902,2377.0,32230,1154.0,967,2593
